               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.040545,            0.034449,            0.016262,             0.68422,             0.64193,             0.68028,             0.40489,            0.036966,            0.019799,           0.0098062,            0.004753,            0.004753,            0.004753
                 108,            0.040571,            0.034789,            0.016062,              0.6822,             0.64437,             0.68165,              0.4061,            0.036946,             0.01978,           0.0097645,           0.0047035,           0.0047035,           0.0047035
                 109,             0.04045,            0.034389,            0.016237,             0.68367,             0.64633,             0.68094,             0.40618,            0.036929,            0.019777,           0.0097742,            0.004654,            0.004654,            0.004654
                 110,            0.040558,            0.034526,            0.016031,             0.68338,             0.64783,             0.68198,             0.40649,            0.036918,            0.019768,           0.0097768,           0.0046045,           0.0046045,           0.0046045
                 111,            0.040545,            0.034586,            0.016039,             0.68319,             0.64678,             0.68231,             0.40724,            0.036893,            0.019757,           0.0097505,            0.004555,            0.004555,            0.004555
                 112,            0.040209,            0.034202,            0.015766,             0.68386,             0.64012,             0.68215,             0.40741,            0.036863,            0.019751,           0.0097446,           0.0045055,           0.0045055,           0.0045055
                 113,            0.040299,            0.034161,            0.015609,             0.68735,             0.64217,             0.68296,              0.4079,            0.036849,            0.019747,            0.009732,            0.004456,            0.004456,            0.004456
                 114,            0.040471,            0.034267,            0.015552,             0.68836,             0.64231,             0.68388,             0.40808,            0.036834,            0.019742,           0.0097083,           0.0044065,           0.0044065,           0.0044065
                 115,            0.040396,              0.0345,            0.015523,              0.6849,             0.64377,             0.68419,             0.40841,            0.036823,            0.019732,           0.0096777,            0.004357,            0.004357,            0.004357
                 116,            0.040165,            0.034259,             0.01547,             0.68847,             0.64493,             0.68505,             0.40911,            0.036819,            0.019724,           0.0096655,           0.0043075,           0.0043075,           0.0043075
                 117,            0.040229,            0.034235,            0.015606,             0.69064,             0.64215,             0.68575,             0.40951,            0.036799,             0.01972,           0.0096618,            0.004258,            0.004258,            0.004258
                 118,            0.040173,            0.034262,            0.015358,             0.68809,             0.64269,             0.68615,             0.41033,            0.036778,            0.019706,           0.0096251,           0.0042085,           0.0042085,           0.0042085
                 119,            0.039723,            0.034067,            0.015275,             0.69205,             0.64137,             0.68622,             0.41114,            0.036769,            0.019695,           0.0096134,            0.004159,            0.004159,            0.004159
                 120,            0.039952,            0.033916,              0.0153,             0.69026,             0.64054,             0.68597,             0.41156,            0.036769,             0.01969,           0.0096067,           0.0041095,           0.0041095,           0.0041095
                 121,            0.039837,            0.034037,            0.015127,             0.69031,             0.64304,             0.68635,             0.41151,             0.03676,            0.019683,           0.0095974,             0.00406,             0.00406,             0.00406
                 122,            0.039731,            0.034156,            0.015073,             0.68804,             0.64504,             0.68704,             0.41208,             0.03675,            0.019674,           0.0095776,           0.0040105,           0.0040105,           0.0040105
                 123,            0.039723,            0.033799,             0.01503,             0.68991,             0.64423,             0.68749,             0.41231,            0.036739,            0.019664,           0.0095665,            0.003961,            0.003961,            0.003961
                 124,            0.039267,             0.03371,            0.014671,             0.68782,             0.64691,             0.68801,             0.41278,            0.036722,            0.019657,            0.009553,           0.0039115,           0.0039115,           0.0039115
                 125,            0.039652,            0.034056,            0.014925,              0.6901,             0.64611,             0.68848,             0.41334,            0.036713,             0.01965,           0.0095493,            0.003862,            0.003862,            0.003862
                 126,            0.039485,            0.034053,            0.014664,             0.69123,             0.64534,             0.68884,             0.41399,            0.036705,            0.019644,           0.0095509,           0.0038125,           0.0038125,           0.0038125
                 127,            0.039472,            0.034077,            0.014721,             0.69042,             0.64909,             0.68906,             0.41405,            0.036697,            0.019638,           0.0095516,            0.003763,            0.003763,            0.003763
                 128,            0.039558,            0.033904,            0.014914,             0.69396,             0.64607,             0.68941,              0.4144,            0.036687,             0.01963,           0.0095569,           0.0037135,           0.0037135,           0.0037135
                 129,            0.039245,            0.033738,             0.01495,              0.6942,             0.64692,                0.69,             0.41508,            0.036675,            0.019619,           0.0095554,            0.003664,            0.003664,            0.003664
                 130,            0.039253,            0.033706,            0.014787,             0.69179,             0.64672,             0.69003,             0.41534,             0.03666,            0.019614,           0.0095546,           0.0036145,           0.0036145,           0.0036145
                 131,            0.039294,            0.034103,            0.014657,             0.68841,             0.64964,             0.69066,             0.41575,            0.036649,            0.019606,           0.0095513,            0.003565,            0.003565,            0.003565
                 132,            0.039265,            0.033659,            0.014542,             0.68821,             0.65052,             0.69107,             0.41579,            0.036645,            0.019599,           0.0095507,           0.0035155,           0.0035155,           0.0035155
                 133,            0.039056,            0.034055,            0.014412,             0.68992,             0.64799,             0.69159,             0.41604,             0.03663,            0.019593,           0.0095467,            0.003466,            0.003466,            0.003466
                 134,            0.039116,            0.033705,            0.014249,             0.69099,             0.64925,             0.69192,             0.41633,            0.036623,            0.019585,           0.0095477,           0.0034165,           0.0034165,           0.0034165
                 135,            0.038932,            0.033687,            0.014223,             0.69215,             0.64743,             0.69198,              0.4167,            0.036606,            0.019578,           0.0095409,            0.003367,            0.003367,            0.003367
                 136,            0.038927,            0.033718,            0.014225,             0.69733,             0.64388,             0.69217,              0.4169,            0.036598,            0.019574,           0.0095307,           0.0033175,           0.0033175,           0.0033175
                 137,            0.038858,            0.033472,            0.014118,             0.69775,             0.64497,              0.6926,             0.41712,            0.036586,            0.019569,            0.009527,            0.003268,            0.003268,            0.003268
                 138,            0.038529,            0.033462,            0.014081,             0.70028,             0.64368,             0.69309,              0.4173,            0.036577,            0.019562,           0.0095156,           0.0032185,           0.0032185,           0.0032185
                 139,            0.038719,            0.033498,            0.013976,             0.69698,             0.64678,             0.69349,             0.41773,            0.036563,            0.019554,            0.009505,            0.003169,            0.003169,            0.003169
                 140,            0.038588,            0.033542,            0.013948,             0.69691,             0.64598,               0.694,             0.41785,            0.036551,            0.019548,           0.0094894,           0.0031195,           0.0031195,           0.0031195
                 141,            0.038535,            0.033586,             0.01362,             0.69892,             0.64498,             0.69378,             0.41813,            0.036542,            0.019541,           0.0094891,             0.00307,             0.00307,             0.00307
                 142,            0.038698,            0.033413,            0.013991,              0.7019,             0.64312,             0.69413,             0.41848,            0.036538,            0.019535,           0.0094864,           0.0030205,           0.0030205,           0.0030205
                 143,            0.038554,            0.033055,            0.013802,             0.70103,             0.64394,             0.69437,             0.41863,            0.036528,             0.01953,           0.0094816,            0.002971,            0.002971,            0.002971
                 144,            0.038586,            0.033556,            0.013577,             0.70015,             0.64405,             0.69459,             0.41879,            0.036519,            0.019526,           0.0094758,           0.0029215,           0.0029215,           0.0029215
                 145,            0.038293,            0.033372,            0.013607,             0.69759,             0.64674,             0.69483,             0.41896,            0.036514,            0.019521,           0.0094692,            0.002872,            0.002872,            0.002872
                 146,            0.038342,             0.03326,            0.013657,             0.69958,             0.64589,             0.69476,             0.41935,            0.036508,            0.019515,           0.0094633,           0.0028225,           0.0028225,           0.0028225
                 147,            0.038365,            0.033608,            0.013539,             0.69894,             0.64625,             0.69499,             0.41965,            0.036501,            0.019509,           0.0094624,            0.002773,            0.002773,            0.002773
                 148,            0.038183,            0.033215,            0.013439,             0.69882,             0.64693,             0.69517,              0.4199,            0.036497,            0.019505,           0.0094573,           0.0027235,           0.0027235,           0.0027235
                 149,            0.038125,            0.033319,            0.013346,             0.69995,             0.64724,             0.69581,             0.42013,            0.036491,              0.0195,           0.0094602,            0.002674,            0.002674,            0.002674
                 150,            0.037989,            0.033262,            0.013566,             0.69803,             0.64893,             0.69593,             0.42047,            0.036485,            0.019493,           0.0094594,           0.0026245,           0.0026245,           0.0026245
                 151,            0.038207,             0.03311,            0.013462,             0.69812,             0.64977,             0.69613,             0.42102,            0.036477,            0.019485,           0.0094477,            0.002575,            0.002575,            0.002575
                 152,             0.03805,            0.032971,            0.013353,             0.70027,             0.64923,             0.69628,             0.42113,             0.03647,            0.019482,           0.0094404,           0.0025255,           0.0025255,           0.0025255
