               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.038284,             0.03364,            0.013521,             0.70027,             0.65039,             0.69568,             0.42454,            0.036376,            0.019455,           0.0096581,            0.002773,            0.002773,            0.002773
                 148,            0.038144,            0.033287,            0.013451,              0.7018,                0.65,             0.69595,             0.42446,            0.036368,            0.019447,           0.0096535,           0.0027235,           0.0027235,           0.0027235
                 149,            0.038099,            0.033374,            0.013369,             0.70165,             0.65134,             0.69635,             0.42499,            0.036359,            0.019441,           0.0096449,            0.002674,            0.002674,            0.002674
                 150,            0.037918,            0.033218,            0.013612,             0.70256,             0.65102,             0.69684,             0.42506,             0.03635,            0.019437,           0.0096424,           0.0026245,           0.0026245,           0.0026245
                 151,            0.038077,            0.033102,            0.013441,             0.70361,             0.65016,              0.6969,             0.42544,            0.036343,            0.019431,           0.0096347,            0.002575,            0.002575,            0.002575
                 152,            0.037904,            0.032931,            0.013246,             0.70144,             0.65212,             0.69722,             0.42575,            0.036336,            0.019427,           0.0096222,           0.0025255,           0.0025255,           0.0025255
                 153,            0.037938,            0.032833,            0.013272,             0.70628,             0.64827,             0.69765,             0.42572,            0.036333,            0.019419,           0.0096158,            0.002476,            0.002476,            0.002476
                 154,            0.037807,            0.033284,            0.013082,             0.70744,             0.64774,             0.69747,             0.42589,            0.036327,            0.019416,           0.0096127,           0.0024265,           0.0024265,           0.0024265
                 155,            0.037848,            0.033067,            0.013132,             0.70594,             0.65021,              0.6978,             0.42589,            0.036321,             0.01941,           0.0096054,            0.002377,            0.002377,            0.002377
                 156,            0.037656,            0.032992,            0.013033,             0.70827,              0.6483,             0.69761,             0.42625,            0.036313,            0.019405,           0.0095965,           0.0023275,           0.0023275,           0.0023275
                 157,            0.037754,            0.032878,            0.012817,             0.70646,              0.6501,             0.69781,             0.42662,            0.036305,            0.019401,           0.0095926,            0.002278,            0.002278,            0.002278
                 158,            0.037739,            0.032852,             0.01305,             0.70705,             0.65022,              0.6982,             0.42689,            0.036298,            0.019397,            0.009588,           0.0022285,           0.0022285,           0.0022285
